D 30 48 30
13, 22, 0, 191, 191, 191
14, 22, 0, 191, 191, 191
13, 23, 0, 191, 191, 191
13, 24, 0, 191, 191, 191
13, 22, 1, 191, 191, 191
14, 22, 1, 191, 191, 191
15, 22, 1, 191, 191, 191
12, 23, 1, 191, 191, 191
20, 25, 29, 191, 191, 191
14, 23, 1, 191, 191, 191
15, 23, 1, 191, 191, 191
12, 24, 1, 191, 191, 191
20, 24, 29, 191, 191, 191
14, 24, 1, 191, 191, 191
13, 25, 1, 191, 191, 191
13, 26, 1, 191, 191, 191
12, 27, 1, 191, 191, 191
13, 27, 1, 191, 191, 191
12, 28, 1, 191, 191, 191
13, 28, 1, 191, 191, 191
14, 21, 2, 191, 191, 191
13, 22, 2, 191, 191, 191
12, 20, 29, 191, 191, 191
15, 22, 2, 191, 191, 191
9, 23, 2, 191, 191, 191
12, 23, 2, 191, 191, 191
11, 20, 29, 191, 191, 191
13, 36, 28, 191, 191, 191
15, 23, 2, 191, 191, 191
13, 24, 2, 191, 191, 191
12, 36, 28, 191, 191, 191
15, 24, 2, 191, 191, 191
13, 25, 2, 191, 191, 191
14, 25, 2, 191, 191, 191
13, 26, 2, 191, 191, 191
14, 26, 2, 191, 191, 191
15, 26, 2, 191, 191, 191
16, 26, 2, 191, 191, 191
11, 27, 2, 191, 191, 191
12, 27, 2, 191, 191, 191
11, 36, 28, 191, 191, 191
14, 27, 2, 191, 191, 191
15, 27, 2, 191, 191, 191
16, 27, 2, 191, 191, 191
11, 28, 2, 191, 191, 191
12, 28, 2, 191, 191, 191
13, 28, 2, 191, 191, 191
14, 28, 2, 191, 191, 191
15, 28, 2, 191, 191, 191
16, 28, 2, 191, 191, 191
17, 28, 2, 191, 191, 191
21, 28, 2, 191, 191, 191
15, 29, 2, 191, 191, 191
16, 29, 2, 191, 191, 191
17, 29, 2, 191, 191, 191
21, 29, 2, 191, 191, 191
15, 30, 2, 191, 191, 191
16, 30, 2, 191, 191, 191
17, 30, 2, 191, 191, 191
16, 33, 2, 191, 191, 191
20, 33, 2, 191, 191, 191
16, 34, 2, 191, 191, 191
20, 34, 2, 191, 191, 191
15, 37, 2, 191, 191, 191
15, 38, 2, 191, 191, 191
14, 17, 3, 191, 191, 191
8, 21, 3, 191, 191, 191
9, 21, 3, 191, 191, 191
10, 21, 3, 191, 191, 191
